City/Town	Precinct	Party	Reg. Voters	% of Reg. Voters
Portsmouth	2701	Unaffiliated	78	48%
Portsmouth	2702	Democrat	131	34%
Portsmouth	2702	Republican	88	23%
Portsmouth	2702	Unaffiliated	169	44%
Portsmouth	2703	Democrat	804	38%
Portsmouth	2703	Republican	334	16%
Portsmouth	2703	Unaffiliated	996	47%
Portsmouth	2704	Democrat	1,064	35%
Portsmouth	2704	Republican	563	19%
Portsmouth	2704	Unaffiliated	1,371	46%
Portsmouth	2705	Democrat	362	34%
Portsmouth	2705	Republican	247	23%
Portsmouth	2705	Unaffiliated	452	43%
Portsmouth	2706	Democrat	362	38%
Portsmouth	2706	Republican	202	21%
Portsmouth	2706	Unaffiliated	389	41%
Portsmouth	2707	Democrat	1,011	35%
Portsmouth	2707	Republican	570	20%
Portsmouth	2707	Unaffiliated	1,326	46%
Portsmouth	2708	Democrat	1,079	36%
Portsmouth	2708	Republican	574	19%
Portsmouth	2708	Unaffiliated	1,346	45%
Providence	2801	Democrat	141	68%
Providence	2801	Republican	19	9%
Providence	2801	Unaffiliated	46	22%
Providence	2802	Democrat	286	61%
Providence	2802	Republican	28	6%
Providence	2802	Unaffiliated	154	33%
Providence	2803	Democrat	1,363	65%
Providence	2803	Republican	96	5%
Providence	2803	Unaffiliated	648	31%
Providence	2804	Democrat	1,376	62%
Providence	2804	Republican	75	3%
Providence	2804	Unaffiliated	751	34%
Providence	2805	Democrat	1,539	66%
Providence	2805	Republican	118	5%
Providence	2805	Unaffiliated	686	29%
Providence	2806	Democrat	111	59%
Providence	2806	Republican	13	7%
Providence	2806	Unaffiliated	63	34%
Providence	2807	Democrat	(Blank)	(Blank)
Providence	2807	Republican	(Blank)	(Blank)
Providence	2807	Unaffiliated	2	100%
Providence	2808	Democrat	1,164	66%
Providence	2808	Republican	92	5%
Providence	2808	Unaffiliated	520	29%
Providence	2809	Democrat	1,509	71%
Providence	2809	Republican	81	4%
Providence	2809	Unaffiliated	546	26%
Providence	2810	Democrat	80	68%
Providence	2810	Republican	6	5%
Providence	2810	Unaffiliated	32	27%
Providence	2811	Democrat	1,174	61%
Providence	2811	Republican	82	4%
Providence	2811	Unaffiliated	653	34%
Providence	2812	Democrat	1,212	60%
Providence	2812	Republican	111	6%
Providence	2812	Unaffiliated	691	34%
Providence	2813	Democrat	903	60%
Providence	2813	Republican	73	5%
Providence	2813	Unaffiliated	524	35%
Providence	2814	Democrat	598	60%
Providence	2814	Republican	65	7%
Providence	2814	Unaffiliated	330	33%
Providence	2815	Democrat	843	56%
Providence	2815	Republican	115	8%
Providence	2815	Unaffiliated	553	37%
Providence	2816	Democrat	1,769	68%
Providence	2816	Republican	133	5%
Providence	2816	Unaffiliated	714	27%
Providence	2817	Democrat	1,858	68%
Providence	2817	Republican	127	5%
Providence	2817	Unaffiliated	740	27%
Providence	2818	Democrat	1,405	67%
Providence	2818	Republican	100	5%
Providence	2818	Unaffiliated	604	29%
Providence	2819	Democrat	1,450	62%
Providence	2819	Republican	179	8%
Providence	2819	Unaffiliated	726	31%
Providence	2820	Democrat	198	66%
Providence	2820	Republican	17	6%
Providence	2820	Unaffiliated	87	29%
Providence	2821	Democrat	1,076	61%
Providence	2821	Republican	102	6%
Providence	2821	Unaffiliated	591	33%
Providence	2822	Democrat	369	62%
Providence	2822	Republican	21	4%
Providence	2822	Unaffiliated	202	34%
Providence	2823	Democrat	1,672	63%
Providence	2823	Republican	138	5%
Providence	2823	Unaffiliated	830	31%
Providence	2824	Democrat	1,749	64%
Providence	2824	Republican	134	5%
Providence	2824	Unaffiliated	848	31%
Providence	2825	Democrat	284	58%
Providence	2825	Republican	34	7%
Providence	2825	Unaffiliated	173	35%
Providence	2826	Democrat	1,455	65%
Providence	2826	Republican	95	4%
Providence	2826	Unaffiliated	676	30%
Providence	2827	Democrat	1,627	69%
Providence	2827	Republican	104	4%
Providence	2827	Unaffiliated	640	27%
Providence	2828	Democrat	1,039	62%
Providence	2828	Republican	76	5%
Providence	2828	Unaffiliated	551	33%
Providence	2829	Democrat	1,210	73%
Providence	2829	Republican	61	4%
Providence	2829	Unaffiliated	388	23%
Providence	2830	Democrat	93	69%
Providence	2830	Republican	9	7%
Providence	2830	Unaffiliated	33	24%
Providence	2831	Democrat	1,152	69%
Providence	2831	Republican	58	3%
Providence	2831	Unaffiliated	460	28%
Providence	2832	Democrat	1,573	67%
Providence	2832	Republican	104	4%
Providence	2832	Unaffiliated	675	29%
Providence	2833	Democrat	725	65%
Providence	2833	Republican	44	4%
Providence	2833	Unaffiliated	350	31%
Providence	2834	Democrat	353	68%
Providence	2834	Republican	24	5%
Providence	2834	Unaffiliated	142	27%
Providence	2835	Democrat	226	56%
Providence	2835	Republican	36	9%
Providence	2835	Unaffiliated	140	35%
Providence	2836	Democrat	18	41%
Providence	2836	Republican	8	18%
Providence	2836	Unaffiliated	18	41%
Providence	2837	Democrat	508	59%
Providence	2837	Republican	74	9%
Providence	2837	Unaffiliated	278	32%
Providence	2838	Democrat	321	66%
Providence	2838	Republican	35	7%
Providence	2838	Unaffiliated	134	27%
Providence	2839	Democrat	573	63%
Providence	2839	Republican	67	7%
Providence	2839	Unaffiliated	267	29%
Providence	2840	Democrat	450	70%
Providence	2840	Republican	31	5%
Providence	2840	Unaffiliated	161	25%
Providence	2841	Democrat	451	58%
Providence	2841	Republican	35	5%
Providence	2841	Unaffiliated	287	37%
Providence	2842	Democrat	185	56%
Providence	2842	Republican	28	8%
Providence	2842	Unaffiliated	118	36%
Providence	2843	Democrat	231	59%
Providence	2843	Republican	28	7%
Providence	2843	Unaffiliated	133	34%
Providence	2844	Democrat	1,070	48%
Providence	2844	Republican	336	15%
Providence	2844	Unaffiliated	830	37%
Providence	2845	Democrat	499	60%
Providence	2845	Republican	70	8%
Providence	2845	Unaffiliated	260	31%
Providence	2846	Democrat	632	59%
Providence	2846	Republican	82	8%
Providence	2846	Unaffiliated	362	34%
Providence	2847	Democrat	489	56%
Providence	2847	Republican	45	5%
Providence	2847	Unaffiliated	336	39%
Providence	2848	Democrat	193	58%
Providence	2848	Republican	28	8%
Providence	2848	Unaffiliated	110	33%
Providence	2849	Democrat	1,093	62%
Providence	2849	Republican	109	6%
Providence	2849	Unaffiliated	560	32%
Providence	2850	Democrat	640	62%
Providence	2850	Republican	66	6%
Providence	2850	Unaffiliated	333	32%
Providence	2851	Democrat	770	59%
Providence	2851	Republican	88	7%
Providence	2851	Unaffiliated	445	34%
Providence	2852	Democrat	301	59%
Providence	2852	Republican	30	6%
Providence	2852	Unaffiliated	182	35%
Providence	2853	Democrat	230	55%
Providence	2853	Republican	39	9%
Providence	2853	Unaffiliated	146	35%
Providence	2854	Democrat	1,843	66%
Providence	2854	Republican	150	5%
Providence	2854	Unaffiliated	811	29%
Providence	2855	Democrat	1,733	61%
Providence	2855	Republican	177	6%
Providence	2855	Unaffiliated	935	33%
Providence	2856	Democrat	82	62%
Providence	2856	Republican	8	6%
Providence	2856	Unaffiliated	43	32%
Providence	2857	Democrat	154	63%
Providence	2857	Republican	10	4%
Providence	2857	Unaffiliated	80	33%
Providence	2858	Democrat	407	57%
Providence	2858	Republican	41	6%
Providence	2858	Unaffiliated	267	37%
Providence	2859	Democrat	253	62%
Providence	2859	Republican	31	8%
Providence	2859	Unaffiliated	121	30%
Providence	2860	Democrat	180	58%
Providence	2860	Republican	22	7%
Providence	2860	Unaffiliated	109	35%
Providence	2861	Democrat	1,398	65%
Providence	2861	Republican	89	4%
Providence	2861	Unaffiliated	668	31%
Providence	2862	Democrat	1,389	67%
Providence	2862	Republican	115	6%
Providence	2862	Unaffiliated	572	28%
Providence	2863	Democrat	838	62%
Providence	2863	Republican	75	6%
Providence	2863	Unaffiliated	433	32%
Providence	2864	Democrat	396	66%
Providence	2864	Republican	37	6%
Providence	2864	Unaffiliated	168	28%
Providence	2865	Democrat	303	64%
Providence	2865	Republican	13	3%
Providence	2865	Unaffiliated	158	33%
Providence	2866	Democrat	916	72%
Providence	2866	Republican	45	4%
Providence	2866	Unaffiliated	305	24%
Providence	2867	Democrat	146	57%
Providence	2867	Republican	16	6%
Providence	2867	Unaffiliated	96	37%
Providence	2868	Democrat	1,065	68%
Providence	2868	Republican	59	4%
Providence	2868	Unaffiliated	448	28%
Providence	2869	Democrat	161	54%
Providence	2869	Republican	18	6%
Providence	2869	Unaffiliated	121	40%
Providence	2870	Democrat	1,000	66%
Providence	2870	Republican	80	5%
Providence	2870	Unaffiliated	424	28%
Providence	2871	Democrat	561	65%
Providence	2871	Republican	45	5%
Providence	2871	Unaffiliated	255	30%
Providence	2872	Democrat	62	67%
Providence	2872	Republican	6	6%
Providence	2872	Unaffiliated	25	27%
Providence	2873	Democrat	170	59%
Providence	2873	Republican	18	6%
Providence	2873	Unaffiliated	101	35%
Providence	2874	Democrat	1,225	62%
Providence	2874	Republican	127	6%
Providence	2874	Unaffiliated	620	31%
Providence	2875	Democrat	1,366	62%
Providence	2875	Republican	141	6%
Providence	2875	Unaffiliated	694	32%
Providence	2876	Democrat	862	67%
Providence	2876	Republican	72	6%
Providence	2876	Unaffiliated	361	28%
Providence	2877	Democrat	403	57%
Providence	2877	Republican	50	7%
Providence	2877	Unaffiliated	248	35%
Providence	2878	Democrat	79	67%
Providence	2878	Republican	8	7%
Providence	2878	Unaffiliated	31	26%
Providence	2879	Democrat	1,001	66%
Providence	2879	Republican	65	4%
Providence	2879	Unaffiliated	453	30%
Providence	2880	Democrat	781	69%
Providence	2880	Republican	33	3%
Providence	2880	Unaffiliated	325	29%
Richmond	2901	Democrat	905	29%
Richmond	2901	Republican	627	20%
Richmond	2901	Unaffiliated	1,556	50%
Richmond	2902	Democrat	874	28%
Richmond	2902	Republican	686	22%
Richmond	2902	Unaffiliated	1,558	50%
Scituate	3001	Democrat	622	22%
Scituate	3001	Republican	701	25%
Scituate	3001	Unaffiliated	1,447	52%
Scituate	3002	Democrat	639	22%
Scituate	3002	Republican	719	25%
Scituate	3002	Unaffiliated	1,523	53%
Scituate	3003	Democrat	595	22%
Scituate	3003	Republican	650	23%
Scituate	3003	Unaffiliated	1,521	55%
Smithfield	3101	Democrat	803	31%
Smithfield	3101	Republican	452	18%
Smithfield	3101	Unaffiliated	1,300	51%
Smithfield	3102	Democrat	787	34%
Smithfield	3102	Republican	367	16%
Smithfield	3102	Unaffiliated	1,194	51%
Smithfield	3103	Democrat	777	34%
Smithfield	3103	Republican	343	15%
Smithfield	3103	Unaffiliated	1,191	52%
Smithfield	3104	Democrat	818	31%
Smithfield	3104	Republican	430	16%
Smithfield	3104	Unaffiliated	1,400	53%
Smithfield	3105	Democrat	812	33%
Smithfield	3105	Republican	356	14%
Smithfield	3105	Unaffiliated	1,300	53%
Smithfield	3106	Democrat	749	33%
Smithfield	3106	Republican	383	17%
Smithfield	3106	Unaffiliated	1,117	50%
South Kingstown	3201	Democrat	306	35%
South Kingstown	3201	Republican	135	16%
South Kingstown	3201	Unaffiliated	426	49%
South Kingstown	3202	Democrat	965	45%
South Kingstown	3202	Republican	292	14%
South Kingstown	3202	Unaffiliated	903	42%
South Kingstown	3203	Democrat	962	43%
South Kingstown	3203	Republican	324	14%
South Kingstown	3203	Unaffiliated	970	43%
South Kingstown	3204	Democrat	1,104	49%
South Kingstown	3204	Republican	224	10%
South Kingstown	3204	Unaffiliated	907	41%
South Kingstown	3205	Democrat	1,150	48%
South Kingstown	3205	Republican	220	9%
South Kingstown	3205	Unaffiliated	1,047	43%
South Kingstown	3206	Democrat	716	38%
South Kingstown	3206	Republican	273	15%
South Kingstown	3206	Unaffiliated	890	47%
South Kingstown	3207	Democrat	1,193	44%
South Kingstown	3207	Republican	297	11%
South Kingstown	3207	Unaffiliated	1,200	45%
South Kingstown	3208	Democrat	1,163	40%
South Kingstown	3208	Republican	430	15%
South Kingstown	3208	Unaffiliated	1,335	46%
South Kingstown	3209	Democrat	486	40%
South Kingstown	3209	Republican	172	14%
South Kingstown	3209	Unaffiliated	543	45%
South Kingstown	3210	Democrat	754	42%
South Kingstown	3210	Republican	275	15%
South Kingstown	3210	Unaffiliated	782	43%
Tiverton	3301	Democrat	821	35%
Tiverton	3301	Republican	407	18%
Tiverton	3301	Unaffiliated	1,096	47%
Tiverton	3302	Democrat	909	36%
Tiverton	3302	Republican	461	18%
Tiverton	3302	Unaffiliated	1,123	45%
Tiverton	3303	Democrat	523	38%
Tiverton	3303	Republican	251	18%
Tiverton	3303	Unaffiliated	591	43%
Tiverton	3304	Democrat	588	35%
Tiverton	3304	Republican	314	19%
Tiverton	3304	Unaffiliated	770	46%
Tiverton	3305	Democrat	156	36%
Tiverton	3305	Republican	69	16%
Tiverton	3305	Unaffiliated	210	48%
Tiverton	3306	Democrat	770	31%
Tiverton	3306	Republican	430	17%
Tiverton	3306	Unaffiliated	1,276	52%
Tiverton	3307	Democrat	578	36%
Tiverton	3307	Republican	301	19%
Tiverton	3307	Unaffiliated	706	45%
Warren	3401	Democrat	889	41%
Warren	3401	Republican	265	12%
Warren	3401	Unaffiliated	1,028	47%
Warren	3402	Democrat	960	36%
Warren	3402	Republican	376	14%
Warren	3402	Unaffiliated	1,303	49%
Warren	3403	Democrat	1,179	40%
Warren	3403	Republican	361	12%
Warren	3403	Unaffiliated	1,397	48%
Warwick	3501	Democrat	1,066	42%
Warwick	3501	Republican	345	14%
Warwick	3501	Unaffiliated	1,126	44%
Warwick	3502	Democrat	991	40%
Warwick	3502	Republican	346	14%
Warwick	3502	Unaffiliated	1,145	46%
Warwick	3503	Democrat	579	39%
Warwick	3503	Republican	215	15%
Warwick	3503	Unaffiliated	676	46%
Warwick	3504	Democrat	941	47%
Warwick	3504	Republican	227	11%
Warwick	3504	Unaffiliated	846	42%
Warwick	3505	Democrat	415	39%
Warwick	3505	Republican	145	14%
Warwick	3505	Unaffiliated	511	48%
Warwick	3506	Democrat	397	37%
Warwick	3506	Republican	181	17%
Warwick	3506	Unaffiliated	492	46%
Warwick	3507	Democrat	229	37%
Warwick	3507	Republican	88	14%
Warwick	3507	Unaffiliated	296	48%
Warwick	3508	Democrat	877	38%
Warwick	3508	Republican	305	13%
Warwick	3508	Unaffiliated	1,120	49%
Warwick	3509	Democrat	199	37%
Warwick	3509	Republican	72	13%
Warwick	3509	Unaffiliated	269	50%
Warwick	3510	Democrat	528	37%
Warwick	3510	Republican	202	14%
Warwick	3510	Unaffiliated	684	48%
Warwick	3511	Democrat	937	38%
Warwick	3511	Republican	334	14%
Warwick	3511	Unaffiliated	1,180	48%
Warwick	3512	Democrat	663	38%
Warwick	3512	Republican	269	16%
Warwick	3512	Unaffiliated	795	46%
Warwick	3513	Democrat	837	36%
Warwick	3513	Republican	323	14%
Warwick	3513	Unaffiliated	1,165	50%
Warwick	3514	Democrat	1,149	38%
Warwick	3514	Republican	434	14%
Warwick	3514	Unaffiliated	1,418	47%
Warwick	3515	Democrat	1,112	38%
Warwick	3515	Republican	436	15%
Warwick	3515	Unaffiliated	1,363	47%
Warwick	3516	Democrat	302	38%
Warwick	3516	Republican	117	15%
Warwick	3516	Unaffiliated	367	47%
Warwick	3517	Democrat	350	37%
Warwick	3517	Republican	143	15%
Warwick	3517	Unaffiliated	453	48%
Warwick	3518	Democrat	1,019	35%
Warwick	3518	Republican	516	18%
Warwick	3518	Unaffiliated	1,402	48%
Warwick	3519	Democrat	1,083	37%
Warwick	3519	Republican	453	15%
Warwick	3519	Unaffiliated	1,403	48%
Warwick	3520	Democrat	871	36%
Warwick	3520	Republican	379	16%
Warwick	3520	Unaffiliated	1,167	48%
Warwick	3521	Democrat	781	36%
Warwick	3521	Republican	325	15%
Warwick	3521	Unaffiliated	1,069	49%
Warwick	3522	Democrat	643	38%
Warwick	3522	Republican	263	16%
Warwick	3522	Unaffiliated	780	46%
Warwick	3523	Democrat	941	38%
Warwick	3523	Republican	358	14%
Warwick	3523	Unaffiliated	1,170	47%
Warwick	3524	Democrat	570	33%
Warwick	3524	Republican	284	17%
Warwick	3524	Unaffiliated	859	50%
Warwick	3525	Democrat	720	35%
Warwick	3525	Republican	350	17%
Warwick	3525	Unaffiliated	987	48%
Warwick	3526	Democrat	265	36%
Warwick	3526	Republican	123	17%
Warwick	3526	Unaffiliated	351	47%
Warwick	3527	Democrat	607	33%
Warwick	3527	Republican	324	18%
Warwick	3527	Unaffiliated	885	49%
Warwick	3528	Democrat	397	37%
Warwick	3528	Republican	169	16%
Warwick	3528	Unaffiliated	499	47%
Warwick	3529	Democrat	687	37%
Warwick	3529	Republican	310	17%
Warwick	3529	Unaffiliated	867	47%
Warwick	3530	Democrat	917	37%
Warwick	3530	Republican	410	16%
Warwick	3530	Unaffiliated	1,177	47%
Warwick	3531	Democrat	957	35%
Warwick	3531	Republican	511	19%
Warwick	3531	Unaffiliated	1,278	47%
Warwick	3532	Democrat	445	37%
Warwick	3532	Republican	174	14%
Warwick	3532	Unaffiliated	583	49%
Warwick	3533	Democrat	381	34%
Warwick	3533	Republican	175	16%
Warwick	3533	Unaffiliated	560	50%
West Greenwich	3701	Democrat	354	23%
West Greenwich	3701	Republican	408	26%
West Greenwich	3701	Unaffiliated	797	51%
West Greenwich	3702	Democrat	360	27%
West Greenwich	3702	Republican	274	21%
West Greenwich	3702	Unaffiliated	683	52%
West Greenwich	3703	Democrat	227	22%
West Greenwich	3703	Republican	271	26%
West Greenwich	3703	Unaffiliated	545	52%
West Greenwich	3704	Democrat	276	25%
West Greenwich	3704	Republican	267	24%
West Greenwich	3704	Unaffiliated	581	52%
West Warwick	3801	Democrat	742	35%
West Warwick	3801	Republican	338	16%
West Warwick	3801	Unaffiliated	1,024	49%
West Warwick	3802	Democrat	505	34%
West Warwick	3802	Republican	227	15%
West Warwick	3802	Unaffiliated	765	51%
West Warwick	3803	Democrat	288	33%
West Warwick	3803	Republican	136	16%
West Warwick	3803	Unaffiliated	449	51%
West Warwick	3804	Democrat	1,206	37%
West Warwick	3804	Republican	558	17%
West Warwick	3804	Unaffiliated	1,499	46%
West Warwick	3805	Democrat	473	34%
West Warwick	3805	Republican	200	15%
West Warwick	3805	Unaffiliated	704	51%
West Warwick	3806	Democrat	432	39%
West Warwick	3806	Republican	178	16%
West Warwick	3806	Unaffiliated	491	45%
West Warwick	3807	Democrat	1,067	36%
West Warwick	3807	Republican	472	16%
West Warwick	3807	Unaffiliated	1,433	48%
West Warwick	3808	Democrat	830	34%
West Warwick	3808	Republican	463	19%
West Warwick	3808	Unaffiliated	1,128	47%
West Warwick	3809	Democrat	704	35%
West Warwick	3809	Republican	328	16%
West Warwick	3809	Unaffiliated	957	48%
West Warwick	3810	Democrat	631	35%
West Warwick	3810	Republican	285	16%
West Warwick	3810	Unaffiliated	888	49%
Westerly	3601	Democrat	351	30%
Westerly	3601	Republican	246	21%
Westerly	3601	Unaffiliated	576	49%
Westerly	3602	Democrat	1,148	37%
Westerly	3602	Republican	497	16%
Westerly	3602	Unaffiliated	1,444	47%
Westerly	3603	Democrat	1,035	37%
Westerly	3603	Republican	467	16%
Westerly	3603	Unaffiliated	1,331	47%
Westerly	3604	Democrat	843	33%
Westerly	3604	Republican	565	22%
Westerly	3604	Unaffiliated	1,177	46%
Westerly	3605	Democrat	882	33%
Westerly	3605	Republican	574	21%
Westerly	3605	Unaffiliated	1,241	46%
Westerly	3606	Democrat	894	33%
Westerly	3606	Republican	485	18%
Westerly	3606	Unaffiliated	1,313	49%
Westerly	3607	Democrat	653	30%
Westerly	3607	Republican	402	18%
Westerly	3607	Unaffiliated	1,124	52%
Woonsocket	3901	Democrat	206	37%
Woonsocket	3901	Republican	69	12%
Woonsocket	3901	Unaffiliated	287	51%
Woonsocket	3902	Democrat	553	43%
Woonsocket	3902	Republican	149	12%
Woonsocket	3902	Unaffiliated	587	46%
Woonsocket	3903	Democrat	432	43%
Woonsocket	3903	Republican	119	12%
Woonsocket	3903	Unaffiliated	443	45%
Woonsocket	3904	Democrat	1,051	45%
Woonsocket	3904	Republican	251	11%
Woonsocket	3904	Unaffiliated	1,022	44%
Woonsocket	3905	Democrat	737	40%
Woonsocket	3905	Republican	252	14%
Woonsocket	3905	Unaffiliated	858	46%
Woonsocket	3906	Democrat	663	37%
Woonsocket	3906	Republican	252	14%
Woonsocket	3906	Unaffiliated	896	49%
Woonsocket	3907	Democrat	821	38%
Woonsocket	3907	Republican	290	13%
Woonsocket	3907	Unaffiliated	1,075	49%
Woonsocket	3908	Democrat	720	36%
Woonsocket	3908	Republican	361	18%
Woonsocket	3908	Unaffiliated	906	46%
Woonsocket	3909	Democrat	1,004	39%
Woonsocket	3909	Republican	377	15%
Woonsocket	3909	Unaffiliated	1,191	46%
Woonsocket	3910	Democrat	991	38%
Woonsocket	3910	Republican	372	14%
Woonsocket	3910	Unaffiliated	1,219	47%
Woonsocket	3911	Democrat	944	40%
Woonsocket	3911	Republican	301	13%
Woonsocket	3911	Unaffiliated	1,117	47%
Woonsocket	3912	Democrat	649	39%
Woonsocket	3912	Republican	251	15%
Woonsocket	3912	Unaffiliated	761	46%
